uniqueEventID,delta_t_max
3173,3.8662333333333336
58464,-31.166633333333337
239691,-31.176233333333336
262301,9.388433333333335
277742,-20.8529
303024,-41.927166666666665
337832,-7.893333333333334
376530,7.586100000000002
389025,-23.1349
431088,-49.938833333333335
497948,21.065233333333335
531616,-22.9296
581960,-14.975833333333334
627511,-15.542133333333336
752912,-13.467166666666671
762453,-31.648433333333333
875822,-44.74606000000001
911264,-14.100200000000001
981597,-14.011866666666673
1000014685,-24.492533333333334
1000186814,32.20483333333334
1000240847,-26.387900000000002
1000291476,-18.2826
1000345797,12.664700000000003
1000394132,-14.828833333333332
1000434737,-23.5821
1000450075,-22.8048
1000468891,-14.280733333333334
1000561379,1.2753666666666632
1000628506,-20.530866666666668
1000658909,-44.8741
1000870794,-32.7461
1000871825,22.363033333333338
1000905396,-22.097900000000003
2000021290,-23.129366666666662
2000165030,-25.546633333333332
2000191827,-17.891233333333332
2000206629,1.6281666666666652
2000222359,2.4117666666666686
2000231495,-15.221999999999998
2000262047,-29.889966666666673
2000347618,-22.277333333333335
2000378254,14.821433333333335
2000470434,12.266433333333335
2000485226,57.08983333333333
2000537910,40.86963333333334
2000552532,110630.00693333334
2000591681,26.240466666666663
2000608541,-18.7327
2000609307,-26.58153333333334
2000616178,-16.122733333333333
2000631736,-10.336300000000001
2000636966,4.009666666666668
2000649898,-15.238366666666668
2000668846,-24.057
2000680069,1.9712333333333305
2000685797,-13.274033333333335
2000720325,5.48813333333333
2000753151,-13.173766666666667
2000762721,-11.94463333333334
2000782955,-15.591533333333334
2000847372,20.21666666666667
2000922496,-9.721600000000006
2000922549,-37.613933333333335
2000991593,3.8133333333333326
3000052680,-21.198900000000002
3000056099,-30.37913333333334
3000076113,9.052066666666668
3000099481,-22.403
3000110767,-29.6494
3000195148,-16.767100000000003
3000264176,-18.027433333333338
3000283487,-13.015766666666668
3000285651,-26.3309
3000293296,-22.511999999999997
3000303576,30.637633333333333
3000324020,-3.5395666666666656
3000353604,-24.578766666666667
3000356123,-8.517633333333336
3000388041,16.30253333333333
3000389150,-16.203166666666668
3000431856,7.130566666666663
3000438718,-11.0302
3000489511,-23.4919
3000495358,-18.9263
